algorithm,grid_rows,grid_cols,n_zones,n_candidate_edges,density,n_active_edges,seed,K,wall_s,mean_rel,p95_rel,max_rel,max_abs
matrix_squaring,5,5,25,116,0.25,29,0,1,2.141698496416211e-05,0.4684507873488304,1.9590846196067302,2.7615646345268376,974.5862205862609
matrix_squaring,5,5,25,116,0.25,29,0,2,4.170899046584964e-05,0.0446738861084781,0.3091930651061297,0.6416914807599704,387.0314656919775
matrix_squaring,5,5,25,116,0.25,29,0,3,6.241601658985019e-05,0.0002856644369869497,0.0,0.0856993310960841,85.43341513324833
matrix_squaring,5,5,25,116,0.25,29,0,4,8.929200703278184e-05,2.7176487157410067e-18,0.0,1.8268583398278235e-16,1.1368683772161603e-13
matrix_squaring,5,5,25,116,0.25,29,0,5,0.00015016697579994798,2.7176487157410067e-18,0.0,1.8268583398278235e-16,1.1368683772161603e-13
matrix_squaring,5,5,25,116,0.25,29,0,6,0.00017612497322261333,2.7176487157410067e-18,0.0,1.8268583398278235e-16,1.1368683772161603e-13
matrix_squaring,5,5,25,116,0.25,29,0,7,0.0002055829972960055,2.7176487157410067e-18,0.0,1.8268583398278235e-16,1.1368683772161603e-13
bellman_ford,5,5,25,116,0.25,29,1,1,3.250001464039087e-05,0.8002030582966365,2.249703352968487,3.0353454897597385,1088.4521215316793
bellman_ford,5,5,25,116,0.25,29,1,2,6.125000072643161e-05,0.2942348049361216,1.216670844022681,2.1463133790531135,708.3758492555739
bellman_ford,5,5,25,116,0.25,29,1,4,0.00011837499914690852,0.0250848187573432,0.2620470949756509,0.5049430083924629,291.68792462778697
bellman_ford,5,5,25,116,0.25,29,1,8,0.000235249986872077,7.054290006686944e-18,0.0,2.2068041936953264e-16,1.1368683772161603e-13
bellman_ford,5,5,25,116,0.25,29,1,16,0.00046633300371468067,7.054290006686944e-18,0.0,2.2068041936953264e-16,1.1368683772161603e-13
bellman_ford,5,5,25,116,0.25,29,1,24,0.000700041011441499,7.054290006686944e-18,0.0,2.2068041936953264e-16,1.1368683772161603e-13
bellman_ford,5,5,25,116,0.25,29,1,32,0.0009316669893451035,7.054290006686944e-18,0.0,2.2068041936953264e-16,1.1368683772161603e-13
matrix_squaring,5,5,25,116,0.25,29,1,1,3.066699719056487e-05,0.8002030582966365,2.249703352968487,3.0353454897597385,1088.4521215316793
matrix_squaring,5,5,25,116,0.25,29,1,2,6.020901491865516e-05,0.09158542872602586,0.5662028676486758,1.2162440712835374,522.7073586016065
matrix_squaring,5,5,25,116,0.25,29,1,3,8.979201084002852e-05,1.58745624770456e-18,0.0,1.7959120634364152e-16,1.1368683772161603e-13
matrix_squaring,5,5,25,116,0.25,29,1,4,0.00011816603364422917,1.58745624770456e-18,0.0,1.7959120634364152e-16,1.1368683772161603e-13
matrix_squaring,5,5,25,116,0.25,29,1,5,0.00014879100490361452,1.58745624770456e-18,0.0,1.7959120634364152e-16,1.1368683772161603e-13
matrix_squaring,5,5,25,116,0.25,29,1,6,0.00018137495499104261,1.58745624770456e-18,0.0,1.7959120634364152e-16,1.1368683772161603e-13
matrix_squaring,5,5,25,116,0.25,29,1,7,0.0002080000122077763,1.58745624770456e-18,0.0,1.7959120634364152e-16,1.1368683772161603e-13
bellman_ford,5,5,25,116,0.25,29,2,1,2.987496554851532e-05,0.5005329409978724,1.5190950808214865,3.1428571428571432,813.6181709953848
bellman_ford,5,5,25,116,0.25,29,2,2,5.6791992392390966e-05,0.18918368936390648,0.7212525292725612,1.9169454817857152,796.7641969038923
bellman_ford,5,5,25,116,0.25,29,2,4,0.00011008302681148052,0.015624260846777396,0.1495210880606985,0.3780816802733092,218.433936934852
bellman_ford,5,5,25,116,0.25,29,2,8,0.00021720799850299954,5.732040524492335e-18,0.0,1.8268583398278235e-16,1.1368683772161603e-13
bellman_ford,5,5,25,116,0.25,29,2,16,0.0004332499811425805,5.732040524492335e-18,0.0,1.8268583398278235e-16,1.1368683772161603e-13
bellman_ford,5,5,25,116,0.25,29,2,24,0.0006466670311056077,5.732040524492335e-18,0.0,1.8268583398278235e-16,1.1368683772161603e-13
bellman_ford,5,5,25,116,0.25,29,2,32,0.0008688750094734132,5.732040524492335e-18,0.0,1.8268583398278235e-16,1.1368683772161603e-13
matrix_squaring,5,5,25,116,0.25,29,2,1,2.8375012334436178e-05,0.5005329409978724,1.5190950808214865,3.1428571428571432,813.6181709953848
matrix_squaring,5,5,25,116,0.25,29,2,2,5.5708049330860376e-05,0.06671201872109328,0.3914526964249947,0.9943055002353712,475.41981334029595
matrix_squaring,5,5,25,116,0.25,29,2,3,8.21659923531115e-05,8.474298732955158e-18,1.133678999556294e-16,1.8268583398278235e-16,1.1368683772161603e-13
matrix_squaring,5,5,25,116,0.25,29,2,4,0.00010945799294859171,8.474298732955158e-18,1.133678999556294e-16,1.8268583398278235e-16,1.1368683772161603e-13
matrix_squaring,5,5,25,116,0.25,29,2,5,0.0001360419555567205,8.474298732955158e-18,1.133678999556294e-16,1.8268583398278235e-16,1.1368683772161603e-13
matrix_squaring,5,5,25,116,0.25,29,2,6,0.00016287504695355892,8.474298732955158e-18,1.133678999556294e-16,1.8268583398278235e-16,1.1368683772161603e-13
matrix_squaring,5,5,25,116,0.25,29,2,7,0.00018962501781061292,8.474298732955158e-18,1.133678999556294e-16,1.8268583398278235e-16,1.1368683772161603e-13
bellman_ford,5,5,25,116,0.5,58,0,1,2.3833010345697403e-05,0.712035782744193,2.572436006679176,3.1996705518988486,1048.420188797645
bellman_ford,5,5,25,116,0.5,58,0,2,4.474999150261283e-05,0.0947253421103287,0.7779140624553996,1.9767362205629468,647.7073586016068
bellman_ford,5,5,25,116,0.5,58,0,4,8.870795136317611e-05,9.745450756264131e-19,0.0,1.5604462101128766e-16,5.684341886080802e-14
bellman_ford,5,5,25,116,0.5,58,0,8,0.00017441599629819393,9.745450756264131e-19,0.0,1.5604462101128766e-16,5.684341886080802e-14
bellman_ford,5,5,25,116,0.5,58,0,16,0.00034845899790525436,9.745450756264131e-19,0.0,1.5604462101128766e-16,5.684341886080802e-14
bellman_ford,5,5,25,116,0.5,58,0,24,0.00062654196517542,9.745450756264131e-19,0.0,1.5604462101128766e-16,5.684341886080802e-14
bellman_ford,5,5,25,116,0.5,58,0,32,0.0008687920053489506,9.745450756264131e-19,0.0,1.5604462101128766e-16,5.684341886080802e-14
matrix_squaring,5,5,25,116,0.5,58,0,1,2.8124952223151922e-05,0.712035782744193,2.572436006679176,3.1996705518988486,1048.420188797645
