driver,grid_shape,n_zones,batch_size,median_call_s,rollouts_per_sec,env_steps_per_sec
sim_only,10x10,100,1,0.00199005200000002,502.4994321756366,7537.491482634549
policy_infer,10x10,100,1,0.002396622000000903,417.25395160339144,6258.809274050872
train_step,10x10,100,1,0.002786222000001004,358.90894551821054,5383.6341827731585
sim_only,10x10,100,16,0.0045168980000003245,3542.253998208251,53133.80997312376
policy_infer,10x10,100,16,0.004880738000000662,3278.1927651100777,49172.891476651166
train_step,10x10,100,16,0.005855092000000894,2732.6641494271234,40989.96224140685
sim_only,10x10,100,64,0.011707674000000168,5466.500006747633,81997.5001012145
policy_infer,10x10,100,64,0.012079394000000576,5298.279036183185,79474.18554274777
train_step,10x10,100,64,0.01332167700000042,4804.199951702626,72062.99927553939
sim_only,10x10,100,256,0.03923698100000195,6524.457118655161,97866.85677982742
policy_infer,10x10,100,256,0.037222417000002395,6877.575951072267,103163.639266084
train_step,10x10,100,256,0.04149973900000248,6168.713494800165,92530.70242200248
sim_only,10x10,100,1024,0.15075254900000346,6792.588296467057,101888.82444700586
policy_infer,10x10,100,1024,0.15116031099999816,6774.264972238728,101613.97458358092
train_step,10x10,100,1024,0.15306784100000215,6689.844145642491,100347.66218463736
