grid_shape,n_zones,batch_size,median_rollout_s,rollouts_per_sec,env_steps_per_sec,speedup_vs_scipy_baseline,peak_device_mb
5x5,25,256,0.0018479759999996404,138529.93761826443,2077949.0642739665,1175.9757013435012,1.395751953125
10x10,100,256,0.04094380100000006,6252.472749171471,93787.09123757207,53.077018244239994,39.66552734375
15x15,225,256,0.22221535099999912,1152.0356215174397,17280.534322761596,9.779589316786415,199.124755859375
20x20,400,256,1.0321516859999988,248.0255600725728,3720.383401088592,2.1054801364394975,627.849365234375
25x25,625,256,5.4060009040000025,47.35478305425009,710.3217458137514,0.40199306497665616,1530.745361328125
30x30,900,256,13.022284107000004,19.65860964916206,294.8791447374309,0.1668812364105438,3172.0361328125
5x5,25,1024,0.003022213000008378,338824.563324015,5082368.449860225,2876.269637725085,3172.0361328125
10x10,100,1024,0.14644383500001368,6992.44184639049,104886.62769585736,59.35858952793286,3172.0361328125
15x15,225,1024,0.899130251999992,1138.8783746540087,17083.17561981013,9.667897917266627,3172.0361328125
20x20,400,1024,4.12541010999999,248.21774628365432,3723.2661942548148,2.1071115983332285,3172.0361328125
25x25,625,1024,21.711127491000013,47.16475459068084,707.4713188602127,0.40037992012462514,6117.554443359375
30x30,900,1024,52.17571788299995,19.625987749631765,294.3898162444765,0.16660431026852093,12677.308349609375
