grid_shape,n_zones,batch_size,median_production_s,median_frozen_s,production_rollouts_per_sec,frozen_rollouts_per_sec,overhead_pct,production_edges_built,frozen_edges_built
10x10,100,64,0.012169128000000029,0.012020329999999468,5259.210027209825,5324.313059625055,1.237886147889178,960,0
10x10,100,256,0.0369443829999998,0.03687141199999999,6929.334832848646,6943.0484517381665,0.19790671428534046,3840,0
10x10,100,1024,0.14701299400000067,0.14695745999999943,6965.370693695248,6968.002849259942,0.03778916701557389,15360,0
15x15,225,64,0.056679722000000154,0.05668474400000001,1129.1516214564324,1129.0515839676366,-0.008859526647689618,960,0
15x15,225,256,0.22330592800000204,0.22336961399999922,1146.409333118992,1146.0824747631111,-0.028511487689268422,3840,0
15x15,225,1024,0.8909339890000005,0.8904686639999966,1149.3556342477798,1149.9562437157294,0.05225619034292705,15360,0
